Michael Collins,12:0.03763547615734017
Julia Hirschberg,1:0.0010392071559978426
Katrin Erk,1:0.0010284195571330025
Ulrike Baldewein,1:0.0010284195571330025
Sebastian Padó,1:0.0010284195571330025
Ulf Hermjakob,1:0.0010197751676547502
Rebecca Watson,1:0.0010123303876440684
Carl Pollard,1:0.0010042052362413646
Derek Proudian,1:0.0010042052362413646
Tom Griffiths,1:0.0010029328531420262
Barbara Vauthey,1:0.000980111879257427
Bernd Bohnet,1:0.0009785765532931466
Aria Haghighi,1:0.0009579994382731442
Yael Ravin,1:0.0009261323263104697
Lance A. Miller,1:0.0009261323263104697
Helge Dyvik,1:0.0009256995838729557
Christian Rohrer,1:0.0009256995838729557
Hiroshi Masuichi,1:0.0009256995838729557
Ron Kaplan,1:0.000911541351428408
John T Maxwell III,1:0.000911541351428408
Alex Vasserman,1:0.000911541351428408
Steven Baker,1:0.0008985376664367611
Rebecca Hwa,1:0.0008985376664367611
Paul Ruhlen,1:0.0008985376664367611
Miles Osborne,1:0.0008985376664367611
Jeremiah Crim,1:0.0008985376664367611
Anoop Sarkar,1:0.0008985376664367611
David Smith,1:0.000898037867030636
Dekang Lin,1:0.0008814555959970002
Patrick Pantel,1:0.0008814555959970002
Andreas  Stolcke,1:0.0008778862172701272
Libin Shen,1:0.000867657902725236
Tetsunosuke Fujisaki,1:0.0008653286693775025
Mary S. Neff,1:0.0008605237941832137
Brammir K. Boguraev,1:0.0008605237941832137
Geoffrey Sampson,1:0.0008598099052897169
Giuseppe Attardi,1:0.0008436728519951536
Remo Pareschi,1:0.0008403319155757622
Mark Steedmant,1:0.0008403319155757622
Helmut Schmid,1:0.0008278144768584738
Johan Bos,1:0.0008200533211134989
Xiaoqiang Luo,1:0.0008178500349058468
Min  Tang,1:0.0008178500349058468
Ralph M. Weischedel,1:0.0008140508362736816
Petya Osenova,1:0.0008108399399543515
Sia Kolkovska,1:0.0008108399399543515
Elisaveta Balabanova,1:0.0008108399399543515
Kiril Simov,1:0.0008108399399543515
Dimitar Doikoff,1:0.0008108399399543515
K. Vijay-Shanker,1:0.0007952219619851048
David J. Weir,1:0.0007952219619851048
Zhiyi Chi,1:0.0007925731045740107
Alexander Vasserman,1:0.0007925597384853573
Yoshua Bengio,1:0.0007867009187893342
Joseph Turian,1:0.0007867009187893342
Lev-Arie Ratinov,1:0.0007867009187893342
Mary P. Harper,1:0.0007839504170718996
Wen Wang,1:0.0007839504170718996
Rohit J. Kate,1:0.000783383446786674
Luke Zettlemoyer,1:0.0007736594985350306
George Anton Kiraz,1:0.000773227267202609
Atro VoLrtilainen,1:0.0007712599750859083
Fujio Masakazu,1:0.0007640153380400255
Lauri Karttunen,1:0.0007612588114635942
Yoshifumi Ooyama,1:0.0007599486765001082
Masahiko Haruno,1:0.0007599486765001082
Satoshi Shirai,1:0.0007599486765001082
Remko Bonnema,1:0.0007570501842798694
Remko Scha,1:0.0007570501842798694
Michele Banko,1:0.0007494938394925452
Ivan Titov,1:0.0007440922836448256
Ted Briseoe,1:0.0007424899429206275
Lita Taylor,1:0.0007424899429206275
Shay Cohen,1:0.0007409087160168501
Andrew McCallum,1:0.0007358696962153166
Kavi Narayana Murthy,1:0.0007338981493620445
Girish Kumar,1:0.0007338981493620445
Stan Szpakowicz,1:0.0007338981493620445
Terry Copeck,1:0.0007338981493620445
Joaquim F. Ferreira da Silva,1:0.0007338981493620445
José Gabriel Pereira Lopes,1:0.0007338981493620445
Zornitsa Kozareva,1:0.0007338981493620445
Sylvain Delisle,1:0.0007338981493620445
Akiko Aizawa ,1:0.0007338981493620445
Chris Biemann,1:0.0007294217267209925
Don Blaheta,1:0.0007292771400646301
Mattias Nilsson,1:0.0007281872974411912
Gülsen Eryigit,1:0.0007281872974411912
Beáta Megyesi,1:0.0007281872974411912
Markus Saers,1:0.0007281872974411912
Yoshimasa Tsuruoka,1:0.000723326393542663
Mark Hepple,1:0.0007120300028090331
Glyn Morrill,1:0.0007120300028090331
Emily M. Bender,1:0.0007050084015925017
K. Vijay-Shankar,1:0.0006883176588932696
Aravind K. Jushi,1:0.0006883176588932696
Enoch Peserico,1:0.0006858867287113741
Rens Bad,1:0.0006842524930027109
Jonas Kuhn,1:0.0006736488672656897
Yuk Wah Wong,1:0.0006734083033503531
Andy Way,1:0.0006722060858539747
Josef van Genabith,1:0.0006722060858539747
Ruth O'Donovan,1:0.0006722060858539747
Michael Burke,1:0.0006722060858539747
Aoife Cahill,1:0.0006722060858539747
Catherine Macleod,1:0.0006689116733455977
John Sterling,1:0.0006689116733455977
William P. Headden III,1:0.0006580786154071523
James Clarke,1:0.0006538636141121063
Michal Roth,1:0.0006498004611296437
Randy Osborne,1:0.0006498004611296437
Schabes, Yves,1:0.0006432809213847751
Vijay-Shanker, K.,1:0.0006432809213847751
Jenny Rose Finkel,1:0.0006406588894809889
Andrew Y. Ng,1:0.0006406588894809889
Ioannis Klapaftis,1:0.0006256826775269432
Suresh Manandhar,1:0.0006256826775269432
Dmitriy Dligach,1:0.0006256826775269432
Sameer Pradhan,1:0.0006256826775269432
Kemal Oflazer,1:0.0006253063093516988
Ilker Kuruoz,1:0.0006253063093516988
Alessandro Moschitti,1:0.0006247447761968133
Dipanjan Das,1:0.0006242022274369048
Stephan Cepen,1:0.0006127790025139201
Mans Hulden,1:0.0006096098975938482
David Weir,1:0.0006088538534810371
Roger Evans,1:0.0006088538534810371
Norbert Broker,1:0.0006051917148210072
Peter Neuhaus,1:0.0006051917148210072
K. Sima'an,1:0.0006021268819965773
Rohini K. Srihari,1:0.0006003977532377485
Cheng Niu,1:0.0006003977532377485
Wei Li,1:0.0006003977532377485
Huifeng Li,1:0.0006003977532377485
Manny Rayner,1:0.0005985028702451998
Roberto Navigli,1:0.0005897081923347761
Antonio Di Marco,1:0.0005897081923347761
Claire Cardie,1:0.0005895493245561601
David Pierce,1:0.0005895493245561601
Brooke Cowan,1:0.0005867640583684616
John D. Lafferty,1:0.000576285945084235
Abhishek Arun,1:0.0005688553359493725
Philippe de Groote,1:0.0005674756937865079
Tim Buckwalter,1:0.0005653118248753259
Gosse Bouma,1:0.0005640375357616679
Hitoshi Isahara,1:0.0005569967471544658
Satoshi Sekine,1:0.0005569967471544658
Kiyotaka Uchimoto,1:0.0005569967471544658
Sabine Schulte im Walde,1:0.0005565476102019974
Bonnie Dorr,1:0.0005542411885669015
Roger Levy,1:0.0005523120695728564
Uzzi Ornan,1:0.0005499243432181949
Alon Itai,1:0.0005499243432181949
Moshe Levinger,1:0.0005499243432181949
Pierre Isabelle,1:0.0005462779565179846
Francois Perrault,1:0.0005462779565179846
Marc Dymetman,1:0.0005462779565179846
Michiel Bacchiani,1:0.0005407033999156684
Otakar Smrz,1:0.0005363106002567289
Zdenek Zabokrtsky,1:0.0005363106002567289
Cynthia Rudin,1:0.0005341553156142851
Ryan Roth,1:0.0005341553156142851
Alberto Lavelli,1:0.0005317403579395838
Pierre Nugues,1:0.0005309597850873328
Richard Johansson,1:0.0005309597850873328
Stuart Geman,1:0.0005276932571129798
F. Chiou,1:0.000526087480060093
