Chin-Yew Lin,5:0.057096050021672326
Michael Elhadad,3:0.003563913402441455
David Stallard,3:0.003495736755353455
Lenhart K. Schubert,1:0.0034044575402696025
Kimmo Koskenniemi,2:0.003353044469618473
Fernando C. N. Pereira ,3:0.003245153143731013
Lauri Karttunen,1:0.0032206841700542325
Vera Demberg,1:0.00321637033711552
Laurence Danlos,2:0.0031073585677908015
Benoit Lavoie,2:0.0030938392435507066
Seiji Miike,1:0.0030673554862125346
Kenji Ono,1:0.0030673554862125346
Kazuo Sumita,1:0.0030673554862125346
Benjamin Van Durme,1:0.003042770416839689
Lenhart Schubert,1:0.003042770416839689
Claire Gardent,2:0.0030419091325072437
Kees van Deemter,4:0.0029788841788856023
Roma Robertson,1:0.002965847177645876
Liesl Osman,1:0.002965847177645876
Jerry R. Hobbs,3:0.0028931580029813875
William B. Dolan,2:0.0028161320724502587
Jianfeng Gao,2:0.0028161320724502587
Vasile Rus,2:0.0027893979705434758
Irene Langkilde,2:0.0027863130618581617
Rada Mihalcea,4:0.0027813373883987594
Lucy Vanderwende,2:0.0027748625103593723
Roger Evans,3:0.002766941739050787
S. G. Pulman,2:0.002723633658047643
Martin Chodorow,2:0.002712720948038244
Robert Bobrow,2:0.0026119957245930815
Robert Ingria,2:0.0026119957245930815
James Pustejovsky,3:0.0026037253973385443
Hwee Tou Ng,3:0.002592421040146145
Inderjeet Mani,2:0.0025911097766809547
Michael Kohlhase,1:0.002570815371797759
Alain Polguere,2:0.002526142368482532
Richard Kittredge,2:0.002526142368482532
Michael Collins,2:0.0025085485694567727
Claudia Leacock,2:0.0024859308063552212
Lynette Hirschman,2:0.0024718937794764124
Robert C. Moore,2:0.0024545267194488697
K. Vijay-Shanker,3:0.002426494891049277
Jacques Robin,2:0.0023521691610503084
Michael White,2:0.002318944957778895
Marius Pasca,2:0.0023183284893429556
Simone Teufel,3:0.0022372650341930585
Rebecca Passonneau,1:0.002214367695254187
Dan Klein,2:0.0021533652179862865
Keith Vander Linden,2:0.0021073315295939998
Mari Ostendorf,1:0.0020970945381875846
Sarah Schwarm,1:0.0020970945381875846
William C. Mann ,1:0.001986855286070374
Martha Palmer,3:0.0019539664106436017
Susan E. Brennan,1:0.0019463215227682685
Marilyn W. Friedman,1:0.0019463215227682685
Steve Maiorano,1:0.0019351687919256866
Christine Clark,1:0.0019351687919256866
Jenine Turner,1:0.001908951283928816
Eugene Charniak,1:0.001908951283928816
Alexandre Klementiev,1:0.0018439194270577707
Michael Gamon,1:0.0018439194270577707
Chris Brockett,1:0.0018439194270577707
Dmitriy Belenko,1:0.0018439194270577707
Norman K. Sondheimer,2:0.0018102063282143437
James A Moore,1:0.0018099999053827003
Madeleine Bates,1:0.0017894416809626785
Alexander Koller,3:0.0017814793151633094
Kristina Striegnitz,3:0.0017814793151633094
Gertjan van Noord,1:0.0017515873599674226
Jette Viethen,3:0.0016791655442537638
Kristina Toutanova,1:0.0016726039749653007
Yoram Singer,1:0.0016726039749653007
Christopher D. Manning,1:0.0016726039749653007
Steven Bird,1:0.0016618237312477808
Edward Loper,1:0.0016618237312477808
Min-Jung Kim,1:0.001632160642698164
L. Iordanskaja,1:0.001632160642698164
Eric Kow,3:0.0016227371027433496
Agnes Lisowska,2:0.001607743247178311
Nancy Underwood,2:0.001607743247178311
Rolf Backofen,2:0.0016077432471783108
Chris Melli,1:0.0015957623653588006
Peter G. ANICK,1:0.001590879633054434
Aravind K. Joshi,2:0.0015884283033579033
Beth Sundheim,1:0.0015857520918824218
Gary Klein,1:0.0015857520918824218
David House,1:0.0015857520918824218
Antonio Roque,1:0.0015822122608003517
Carolyn P. RosÃ©,1:0.0015822122608003517
Kurt VanLehn,1:0.0015822122608003517
Dumisizwe Bhembe,1:0.0015822122608003517
Aria Haghighi,2:0.0015637972176239761
Hongyan Jing,2:0.0015619293696034452
R. Kibble,2:0.0015608488902263376
George Narroway,1:0.0015575315781948074
Ilya Anisimoff,1:0.0015575315781948074
Steven Bethard,1:0.001553307251961199
Parisa Kordjamshidi,1:0.001553307251961199
Marie-Francine Moens,1:0.001553307251961199
Douglas E. Appelt,2:0.0015525998119040466
Kirk Roberts,1:0.0015517729484627505
Abdessamad Echihabi,1:0.0015409521521078896
Christian M.I.M. Matthiessen,2:0.001522955558953772
Chinatsu Aone,2:0.0015110528862207501
Masayuki Kameda,1:0.001482635116534566
Vishal Gupta,1:0.0014826351165345658
Gurpreet Lehal,1:0.0014826351165345658
Bo Pang,2:0.0014769927754130223
Eric Brill,2:0.0014761055720777813
Martha E. Pollack,1:0.0014729477173387922
Owen Rainbow,1:0.0014616786008525425
Ido Dagan,2:0.0014548914697899654
Rachele De Felice,1:0.001430832351637007
Eduard H. Hovy,1:0.0014299375507346977
Mark D. Kemighan,1:0.0014152951521573878
Kenneth W. Church,1:0.0014152951521573878
William A. Gale,1:0.0014152951521573878
Luke Zettlemoyer,1:0.0014055305141292016
Judy Delin,2:0.0013973900614771095
Sergei Nirenburg,2:0.0013719633606991963
Daniel Dahlmeier,1:0.0013378148389301947
Ielka van der Sluis,2:0.0013370486786583855
Gerald Gazdar,2:0.0013343760961123008
Catherine Macleod,1:0.0013322208319737946
Adam Meyers,1:0.0013322208319737946
Ralph Grishman,1:0.0013322208319737946
Mihai Surdeanu,1:0.0013255238940784475
Dawn M. Tice,1:0.0013242802961144482
Ellen M. Voorhees,1:0.0013242802961144482
Bernhard Nebel,1:0.0013099656221237975
David Weir,2:0.0012976667660804498
Jana Z. Sukkarieh,1:0.0012928013064106357
Regina Barzilay and Kathleen R. McKeown,1:0.0012893991961550049
Peter Wittenburg,2:0.0012835135485402935
Christian Hadiwinoto,2:0.0012546062012159503
Siew Mei Wu,2:0.0012546062012159503
Michael Mohler,2:0.0012349469543870724
Dragomir Radev,2:0.0012294147918058716
James Clarke,1:0.0012259422997397016
Tomek Strzalkowsk,1:0.0012257549336770614
Nick Cercone ,1:0.0012257549336770614
Nikiforos Karamanis,2:0.0012177991436493403
Karin Harbusch,2:0.0012098175145944126
George R. Krupka,1:0.0012071791138507403
Nicholas Haddock,1:0.0011938882807180301
Tim Finin,2:0.001186342338662479
Ryan McDonald,1:0.0011805475935029925
Andrew Gargett,2:0.001178147900067849
Elisabetta Gola,1:0.001164379186794573
Nilda Ruimy,1:0.001164379186794573
Nuria Bel,1:0.001164379186794573
Marta Villegas,1:0.001164379186794573
Antoine Ogonowski,1:0.001164379186794573
A. ZAMPOLLI,1:0.001164379186794573
Federica Busa,1:0.001164379186794573
Monica Monachini,1:0.001164379186794573
Nicoletta Calzolari,1:0.001164379186794573
Wim Peters,1:0.001164379186794573
Ivonne Peters,1:0.001164379186794573
Alessandro Lenci,1:0.001164379186794573
Reitert, Ehud,1:0.001162088294075229
Vibhu Mittal,2:0.001149598257192153
Jason Baldridge,1:0.0011319078401879415
Geert-Jan Kruijff,1:0.0011319078401879415
Chris Brew,2:0.0011262454902848968
Alexander M Rush,1:0.0011030180553275714
Justine Cassell,2:0.0010949071093277153
Donna Byron,2:0.0010949071093277153
Stuart M. Shiebert,1:0.0010876023217253272
Bonnie Webber,2:0.0010671505348299312
Aravind Joshi,2:0.0010671505348299312
Hans van Halteren,2:0.0010647317475555175
Noemie Elhadad,1:0.0010494458476259269
Gert Smolka,1:0.0010425752808872193
Hiyan Alshawi,1:0.0010372341107087605
Jan van Eijck,1:0.0010372341107087605
Ralph M. Weischedel,2:0.0010326885663047708
James Martin ,1:0.0010301261212376255
Steven K. Feiner,1:0.0010275679674950104
I. Langkilde-geary,1:0.0010225680653669841
Barbara Gates,1:0.001005357684798533
Eric Bloedorn,1:0.001005357684798533
Günes  Erkan,1:0.001004009169046579
Roxana Girju,1:0.0009928045952645084
Richard Goodrum,1:0.0009928045952645084
Leonard M. Faltz ,1:0.0009889354256612203
Edward L. Keenan,1:0.0009889354256612203
Xing Yi,1:0.0009722126453924881
Amichai Kronfeld,1:0.0009667906433850842
Katja Markert,1:0.0009605104301738151
Dan Shen,1:0.0009407683446990402
Sebastian Varges,1:0.0009353626425455515
Dmitry Zelenko,1:0.0009307889153787475
Anthony Richardella,1:0.0009307889153787475
John A. Bateman,1:0.0009291859938473029
Kathleen F. McCoy,1:0.0009244154613846426
Mark Maybury,1:0.0009169988724133907
Annette Herskovits,1:0.000913938719262376
Marie M. Vaughan,1:0.000911136138876196
David D. McDonald,1:0.000911136138876196
Malgorzata Budzikowska ,1:0.000898208548713301
Eli Goldberg,1:0.0008939817257843683
L. Bourbeau,1:0.0008939817257843683
D. Carcagno,1:0.0008939817257843683
Maxine Eskenazi,1:0.000886985600328855
Kevyn Collins-Thompson,1:0.000886985600328855
Jamie Callan,1:0.000886985600328855
Michael Heilman,1:0.000886985600328855
John D. Burger,1:0.0008861416875939909
Eric Breck,1:0.0008861416875939909
Marc Light,1:0.0008861416875939909
Hristo Tanev,1:0.0008825744779828778
Bonaventura Coppola,1:0.0008825744779828778
Idan Szpektor,1:0.0008825744779828778
Kiyotaka Uchimoto,1:0.000875472024576254
Hitoshi Isahara,1:0.000875472024576254
Emi Izumi,1:0.000875472024576254
Thepchai Supnithi,1:0.000875472024576254
Toyomi Saiga,1:0.000875472024576254
Darla Magdalene Shockley,1:0.0008655121072387134
Laura Stoia,1:0.0008655121072387134
Douglas E Appelt ,1:0.0008593571879282622
Michele Banko,1:0.0008575640522732698
Susan Dumais,1:0.0008575640522732698
Somayajulu Sripada,1:0.0008562213413141792
Douglas R. Appelt,1:0.0008425902754724393
Tetsuro Takahashi,1:0.0008309608999005483
Ryu Iida,1:0.0008309608999005483
Tomoya Iwakura,1:0.0008309608999005483
Atsushi Fujita,1:0.0008309608999005483
Kentaro Inui,1:0.0008309608999005483
Advaith Siddharthan,1:0.0008216919643239904
Paul S. Jacobs,1:0.0008128315487173167
Vasileios Hatzivassiloglou,1:0.0008111268382688591
Oren Etzioni,1:0.0008085935457592334
Alan Ritter,1:0.0008085935457592334
Mausam,1:0.0008085935457592334
John Bear,1:0.0008059358203276363
Eric Jackson,1:0.0008059358203276363
Ann Podlozny,1:0.0008059358203276363
Robert Moore,1:0.0008059358203276363
Douglas Appelt,1:0.0008059358203276363
Matthew W. Crocker,1:0.0008038716235891555
Alice C. Parker,1:0.0008038716235891555
R. Skiba,1:0.0008038716235891555
Benoît Lemaire,1:0.0008038716235891555
Jungyun Seo,1:0.0008038716235891555
Anette Frank,1:0.0008038716235891555
Stan Szpakowicz ,1:0.0008038716235891555
Dann Broeder,1:0.0008038716235891555
B. G. Michell,1:0.0008038716235891555
James M. Hogan,1:0.0008038716235891555
Arthur C. Graesser,1:0.0008038716235891555
Ken Barker,1:0.0008038716235891555
Andrew R. Haas,1:0.0008038716235891555
Patrice Enjalbert,1:0.0008038716235891555
Paul Buitelaar,1:0.0008038716235891555
Michael O'Donnell,1:0.0008038716235891555
Harmony Marchal,1:0.0008038716235891555
David Chapman,1:0.0008038716235891555
Yann Mathet,1:0.0008038716235891555
Nelson Correa,1:0.0008038716235891555
Thierry Charnois,1:0.0008038716235891555
Frédérik Bilhaut,1:0.0008038716235891555
Paul Trilsbeek,1:0.0008038716235891555
D. G. Kuehner,1:0.0008038716235891555
Randall J. Calistri-Yeh ,1:0.0008038716235891555
U. Reyle,1:0.0008038716235891555
N. J. Belkin,1:0.0008038716235891555
Leslie F. Clark,1:0.0008038716235891555
S. Jerrold Kaplan,1:0.0008038716235891555
A. Claus,1:0.0008038716235891555
Tae-Yeoub Jang,1:0.0008038716235891555
Philippe Dessus,1:0.0008038716235891555
Paul M. Postal,1:0.0008038716235891555
Gerard D. Finn,1:0.0008038716235891555
William A. Martin,1:0.0008038716235891555
Stefan Müller,1:0.0008038716235891555
Eric Ristad,1:0.0008038716235891555
Songwook Lee,1:0.0008038716235891555
Yigal Arens,1:0.0008038716235891555
Joachim Diederich,1:0.0008038716235891555
Maryse Bianco,1:0.0008038716235891555
Danièle Godard,1:0.0008038716235891555
Gian Piero Zarri,1:0.0008038716235891555
Freddy Offenga,1:0.0008038716235891555
Anne Abeillé,1:0.0008038716235891555
Didier Maillat,1:0.0008038716235891555
John J. Granacki,1:0.0008038716235891555
Thomas Eigner,1:0.0008038716235891555
James Davidson,1:0.0008038716235891555
Victor Raskin,1:0.0008020261143501497
Allen Tucker,1:0.0008020261143501497
Slava Andreyev,1:0.0007991071334901101
Jill Burstein,1:0.0007991071334901101
Kees vanDeemter,1:0.0007967447008251719
Yoshiki Mori,1:0.0007962164186844152
Christian Lieske,1:0.0007962164186844152
Manfred Pinkal,1:0.0007962164186844152
K. L. Worm,1:0.0007962164186844152
Bjorn Gamback,1:0.0007962164186844152
Tony Hartley,1:0.0007824394828970477
R. Johnson,1:0.0007761814660870495
Mike Rosner,1:0.0007761814660870495
Walter Daelemans,1:0.0007662936791317367
Koenraad De Smedt,1:0.0007662936791317367
Massimo Poesio,1:0.0007505436143431797
Joel Tetreault,1:0.0007497692325916946
Yuanbin Wu,1:0.0007497692325916946
Adam Vogel,1:0.0007467754786861457
Daniel Jurafsky,1:0.0007467754786861457
Anne Abeille,1:0.0007456414044114034
Susan W. McRoy,1:0.0007453681754051039
Syed S. Ali,1:0.0007453681754051039
Songsak Channarukul,1:0.0007453681754051039
Marc Tilbrook,1:0.0007426097253699977
Rolf Schwitter,1:0.0007426097253699977
Miriam Butt,1:0.0007383980127049486
Tracy Holloway King,1:0.0007383980127049486
Pablo Ariel Duboue,1:0.0007379887725292622
Adwait Ratnaparkhi,1:0.000737778981812506
Edwin Bos,1:0.0007363281886365815
Carla Huls,1:0.0007363281886365815
Wim Claassen,1:0.0007363281886365815
HELMUT HORACEK,1:0.0007355449927905097
Amit Singhal,1:0.0007289246837184934
Chris Buckleytt,1:0.0007289246837184934
Mandar Mitrat,1:0.0007289246837184934
Saad Mahamood,1:0.0007282599217846058
Nianwen Xue,1:0.0007259314681859854
Kosuke Tokunaga,1:0.000719280459323444
Jun'ichi Kazama,1:0.000719280459323444
Kentaro Torisawa,1:0.000719280459323444
Richard Schwartz,1:0.0007172037001105078
Bonnie Dorr,1:0.0007172037001105078
David Zajic,1:0.0007172037001105078
John Lamping,1:0.0007137170692906769
Vijay Saraswat,1:0.0007137170692906769
Mary Dalrymple,1:0.0007137170692906769
Andrew Hickl,1:0.0007021378062398064
Yi Pan,1:0.0006879930473882972
Vincent Vandeghinste,1:0.0006879930473882972
Konstantina Garoufi,1:0.0006865722058355942
Steven Roth,1:0.00068181159039979
Vibhu O. Mitta,1:0.00068181159039979
Giuseppe Carenini,1:0.00068181159039979
Razvan Bunescu,1:0.0006808848860646714
Brock H Taylor,1:0.0006733050160692575
Richard S Rosenberg,1:0.0006733050160692575
L. Costa,1:0.0006699825021810046
Luís Sarmento,1:0.0006699825021810046
Marilyn Walker,1:0.0006684512408849525
Pamela Jordan,1:0.0006684512408849525
Alessandro Moschitti,1:0.000665348576627287
Fabio Massimo Zanzotto,1:0.000665348576627287
Stephen Clark,1:0.0006651745098531068
Kathleen R. Mc Keown,1:0.0006567238395254437
Dimitrios Galanis,1:0.0006478699218121064
Ion Androutsopoulos,1:0.0006478699218121064
Lisa F. Rau,1:0.00064132519733083
Beryl Hoffman,1:0.0006397197151503903
Mark Kantrowitz,1:0.0006352174417149617
J.D. Goldstein,1:0.0006352174417149617
Jaime Carbonell,1:0.0006352174417149617
Andrew Ng,1:0.0006328541343223743
Christopher Manning,1:0.0006328541343223743
Julie Weeds,1:0.0006324922562273429
Franz Josef Och,1:0.0006299905346765652
Hermann Ney,1:0.0006299905346765652
Radu Soricut,1:0.0006185415198045115
John Levine,1:0.0006170611247274501
Vahed Qazvinian,1:0.0006153382943939068
Anthony Hartley,1:0.000614950578580062
Cecile Paris,1:0.000614950578580062
Dietrich PAULUS,1:0.0006119613793299181
Gunther Gorz,1:0.0006119613793299181
Dianne P. O'Leary,1:0.0006109637848011426
Judith D. Schlesinger,1:0.0006109637848011426
John M. Conroy,1:0.0006109637848011426
Warren A. Hunt,1:0.0006063450992561297
Eric Nyberg,1:0.0006063450992561297
Lucian Vlad  Lita,1:0.0006063450992561297
Johanna Moore,1:0.0006033314150954603
Annie Zaenen*,1:0.0005997515083649321
Jurgen Wedekind,1:0.0005997515083649321
Klaus Netter,1:0.0005997515083649321
Veronica Dahl,1:0.0005985055363808582
Diana McCarthy,1:0.000598441317264246
Robin Cohen,1:0.0005858220346596014
James Gorlinsky,1:0.0005802639708420026
Mary Ellen Okurowski ,1:0.0005802639708420026
Bjornar Larsen,1:0.0005802639708420026
Kemal Oflazer,1:0.0005773373531140185
Wayne Ward,1:0.0005763952784108438
James Martin,1:0.0005763952784108438
Rodney D. Nielsen,1:0.0005763952784108438
Rodney Nielsen,1:0.0005723169918070876
Danilo Giampiccolo,1:0.0005723169918070876
Luisa Bentivogli,1:0.0005723169918070876
Myroslava Dzikovska,1:0.0005723169918070876
Hoa Trang Dang,1:0.0005723169918070876
Peter Clark,1:0.0005723169918070876
Ulrich Schafer,1:0.0005704599130192152
Hans-Ulrich Krieger,1:0.0005704599130192152
Irene Nirenburg,1:0.0005699372463490466
James C. Lester,1:0.0005698043929884452
Bruce W. Porter,1:0.0005698043929884452
Jahna C. Otterbacher,1:0.0005619692120634654
Airong Luo,1:0.0005619692120634654
Michael Strube,1:0.0005579041738213159
Tomasz Marciniak,1:0.0005579041738213159
Jimmy Lin,1:0.0005531112094329752
Boris Katz,1:0.0005531112094329752
Kathleen Dahigren,1:0.0005523321144786897
Joyce McDowell,1:0.0005523321144786897
Graeme Hirst,1:0.0005511631397996488
Sabine Bergler,1:0.0005445510193951204
Peter Anick,1:0.0005445510193951204
Lokendra Shastri,1:0.0005347026746157066
Dale Miller,1:0.0005347026746157066
Marie-Helene Candito,1:0.0005299516527584779
Kevin W. Drummey ,1:0.0005292534855263324
Robert L. Donaway ,1:0.0005292534855263324
Laura A. Mather ,1:0.0005292534855263324
David H. D. Warren,1:0.0005277790858372133
Yuji Matsumoto,1:0.0005267694485566958
Taku Kudo,1:0.0005267694485566958
Jussi Karlgren,1:0.0005258081205416937
Douglass Cutting,1:0.0005258081205416937
Nicholas V. Findler,1:0.0005244564218229914
E. Judith Weiner,1:0.0005243851562470483
Cristian Danescu-Niculescu-Mizil,1:0.0005219154305576943
Mark Yatskar,1:0.0005219154305576943
John D. Kelleher,1:0.0005212051136031382
Geert-Jan M. Kruijff,1:0.0005212051136031382
Afzal Ballim,1:0.0005198197731321567
Graham Russell,1:0.0005198197731321567
John Carroll,1:0.0005198197731321567
Susan Warwick-Armstrong,1:0.0005198197731321567
John Prager,1:0.000516134437100806
K. Czuba,1:0.000516134437100806
 Jennifer Chu-Carroll,1:0.000516134437100806
Ioannis Tsochantaridis,1:0.0005143808154771914
Stefan Riezler,1:0.0005143808154771914
Alexander Vasserman,1:0.0005143808154771914
Yi Liu,1:0.0005143808154771914
Philippe de Groote,1:0.000510417918781107
Harald Trost,1:0.0005092203271665856
Bonnie Lynn Webber,1:0.0005060398677502025
Christopher Bryant,1:0.0005048369686242558
Raymond Hendy Susanto,1:0.0005048369686242558
Bernd Bohnet,1:0.0005022356567744475
Leo Wanner,1:0.0005022356567744475
Simon Mill,1:0.0005022356567744475
Alicia Burga,1:0.0005022356567744475
Andrew Kehler,1:0.0005020111818160921
Robert J. Bobrow ,1:0.0005002407060905462
Alexander Nakhimovsky,1:0.0004996505776122799
Johann Moore,1:0.0004915756942322549
Arnaldo Candido,1:0.0004902713174924551
Thiago Pardo,1:0.0004902713174924551
Caroline Gasperin,1:0.0004902713174924551
Erick Maziero,1:0.0004902713174924551
Lucia Specia,1:0.0004902713174924551
Sandra Aluisio,1:0.0004902713174924551
Patrick Pantel,1:0.0004854073927547309
Rahul Bhagat,1:0.0004854073927547309
Jahna Otterbacher,1:0.0004830496152191626
Gunes Erkan,1:0.0004830496152191626
Vasileios Hatzlvassiloglou,1:0.000481214772464351
Eleazar Eskin,1:0.000481214772464351
Judith L. Klavans,1:0.000481214772464351
Guy Lapalme,1:0.000481147971824787
Horacio Saggion,1:0.000481147971824787
Percy Liang,1:0.0004807612430209858
Gabor Angeli,1:0.0004807612430209858
Steven Krauwer,1:0.0004796419249511381
Martin Wynne,1:0.0004796419249511381
Tamás Váradi,1:0.0004796419249511381
Scott E. Fahlman,1:0.000473299027386724
Anne Kilger,1:0.0004705735562304895
Gen-ichiro Kikui,1:0.0004705735562304895
John Bateman,1:0.0004697703477302266
Elke Teich,1:0.0004697703477302266
Ruslan Mitkov,1:0.0004672555293061606
Le An Ha,1:0.0004672555293061606
Boyan A. Onyshkevych,1:0.00046713797859076404
Noah A. Smith,1:0.00046704242684187394
Mengqiu Wang,1:0.00046704242684187394
Teruko Mitamura,1:0.00046704242684187394
Galen  Andrew,1:0.0004656119920549907
Roger Levy,1:0.0004656119920549907
